Key,Value
[File: PATH-/usr/local/share/doc/tiff/v3.9.2.html]->FILE_READ->[Any],2
[File: PATH-/usr/local/share/locale/pt_br/lc_messages/pg_rewind-9.5.mo]->FILE_READ->[Any],1
[File: PATH-/usr/local/share/icons/adwaita/24x24/emotes/face-surprise.png]->FILE_READ->[Any],2
[File: PATH-/usr/local/include/postgresql/server/access/htup.h]->FILE_READ->[Any],1
[File: PATH-/usr/local/share/doc/db5/programmer_reference/ch13s02.html]->FILE_READ->[Any],1
[File: PATH-/usr/local/share/autoconf-2.69/autoconf/functions.m4]->FILE_READ->[Any],2
[File: PATH-/usr/local/share/zsh/5.4.2/functions/completion/darwin/_softwareupdate]->FILE_READ->[Any],1
[File: PATH-/usr/local/lib/python3.6/test/nullcert.pem]->FILE_READ->[Any],1
[File: PATH-/usr/local/share/icons/adwaita/scalable/actions/format-indent-less-symbolic.svg]->FILE_READ->[Any],2
[File: PATH-/usr/local/share/icons/adwaita/16x16/mimetypes/text-x-preview.png]->FILE_READ->[Any],3
[File: PATH-/usr/local/share/git-core/contrib/subtree/todo]->FILE_READ->[Any],1
[File: PATH-/usr/local/lib/python2.7/site-packages/salt/output/no_out.py]->FILE_READ->[Any],1
[File: PATH-/usr/local/lib/python2.7/site-packages/tornado/wsgi.py]->FILE_READ->[Any],1
[File: PATH-/usr/local/lib/gcc6/include/c++/java/text/spi/numberformatprovider.h]->FILE_READ->[Any],1
[File: PATH-/usr/local/share/zsh/5.4.2/functions/completion/unix/_arch_archives]->FILE_READ->[Any],1
[File: PATH-/usr/local/share/vim/vim80/syntax/tmux.vim]->FILE_READ->[Any],1
[File: PATH-/usr/local/man/man3/gl_setcontextvgavirtual.3.gz]->FILE_READ->[Any],1
[File: PATH-/usr/local/share/ri/2.4/system/dbm/cdesc-dbm.ri]->FILE_READ->[Any],2
[File: PATH-/usr/local/share/subversion/examples/svnlog2html.rb]->FILE_READ->[Any],1
[File: PATH-/usr/local/x86_64-portbld-freebsd12.0/lib/ldscripts/sun4.xe]->FILE_READ->[Any],1
[File: PATH-/usr/local/share/doc/db5/api_reference/stl/stldb_mapbegin.html]->FILE_READ->[Any],1
[File: PATH-/usr/local/man/man3/gnutls_x509_crq_set_attribute_by_oid.3.gz]->FILE_READ->[Any],1
[File: PATH-/usr/local/lib/perl5/5.24/perlio/via/quotedprint.pm]->FILE_READ->[Any],1
[File: PATH-/usr/local/share/icons/adwaita/32x32/actions/edit-redo.png]->FILE_READ->[Any],3
[File: PATH-/usr/local/share/doc/imagemagick-6/www/api/magickcore/magick-config_8h.html]->FILE_READ->[Any],3
[File: PATH-/usr/local/lib/python2.7/site-packages/salt/modules/chocolatey.py]->FILE_READ->[Any],1
[File: PATH-/usr/local/lib/python3.6/test/test_importlib/import_/__pycache__/test_relative_imports.cpython-36.opt-1.pyc]->FILE_READ->[Any],1
[File: PATH-/usr/local/share/examples/git/gitweb/static/git-favicon.png]->FILE_READ->[Any],2
[File: PATH-/usr/local/share/xml/docbook/4.2/ent/iso-grk4.ent]->FILE_READ->[Any],1
[File: PATH-/usr/local/lib/python2.7/site-packages/salt/modules/seed.pyc]->FILE_READ->[Any],3
[File: PATH-/usr/local/share/doc/imagemagick-6/www/api/magickcore/module_8h-source.html]->FILE_READ->[Any],3
[File: PATH-/usr/local/lib/gcc6/include/c++/java/text/annotation.h]->FILE_READ->[Any],1
[File: PATH-/usr/local/man/man3/xcursorimagesdestroy.3.gz]->FILE_READ->[Any],2
[File: PATH-/usr/local/share/examples/ruby24/trick2015/ksk_2/authors.markdown]->FILE_READ->[Any],1
[File: PATH-/usr/local/lib/python3.6/test/test_codeccallbacks.py]->FILE_READ->[Any],1
[File: PATH-/usr/local/lib/gcc6/include/c++/javax/print/multidocprintservice.h]->FILE_READ->[Any],1
[File: PATH-/usr/local/x86_64-portbld-freebsd12.0/lib/ldscripts/m68kaux.xe]->FILE_READ->[Any],1
[File: PATH-/usr/local/lib/python2.7/site-packages/salt/modules/win_license.pyc]->FILE_READ->[Any],3
[File: PATH-/tmp/tmp.rp9ao3]->FILE_READ->[Any],1
[File: PATH-/usr/local/x86_64-portbld-freebsd12.0/lib/ldscripts/score7_elf.xr]->FILE_READ->[Any],1
[File: PATH-/usr/local/share/icons/adwaita/24x24/actions/media-skip-forward.png]->FILE_READ->[Any],3
[File: PATH-/usr/local/share/icons/adwaita/256x256/actions/go-next.png]->FILE_READ->[Any],2
[File: PATH-/usr/local/lib/perl5/5.24/unicore/lib/bpt/n.pl]->FILE_READ->[Any],1
[File: PATH-/usr/local/share/doc/kbproto/xkbproto-5.svg]->FILE_READ->[Any],1
[File: PATH-/usr/local/share/ri/2.4/system/gem/mockgemui/termerror/exit_code-i.ri]->FILE_READ->[Any],1
[File: PATH-/usr/local/lib/perl5/5.24/perl/man/man3/file::spec.3.gz]->FILE_READ->[Any],1
[File: PATH-/usr/local/lib/python2.7/site-packages/salt/states/git.pyc]->FILE_READ->[Any],1
[File: PATH-/usr/local/share/ri/2.4/system/encoding/inspect-i.ri]->FILE_READ->[Any],1
[File: PATH-/usr/local/lib/python2.7/ctypes/test/test_slicing.py]->FILE_READ->[Any],1
[File: PATH-/usr/local/share/aclocal/libcurl.m4]->FILE_READ->[Any],2
[File: PATH-/usr/local/lib/gcc6/include/c++/javax/swing/text/defaulthighlighter.h]->FILE_READ->[Any],1
[File: PATH-/usr/local/include/boost/accumulators/statistics/pot_tail_mean.hpp]->FILE_READ->[Any],1
[File: PATH-/usr/local/share/locale/lt/lc_messages/shared-mime-info.mo]->FILE_READ->[Any],1
[File: PATH-/usr/local/share/icons/adwaita/24x24/devices/audio-headphones.png]->FILE_READ->[Any],3
[File: PATH-/usr/local/share/emacs/25.3/lisp/progmodes/inf-lisp.el.gz]->FILE_READ->[Any],1
[File: PATH-/usr/local/include/boost/vmd/detail/array.hpp]->FILE_READ->[Any],1
[File: PATH-/usr/local/share/java/zi/europe/astrakhan]->FILE_READ->[Any],1
[File: PATH-/usr/local/share/icons/adwaita/24x24/status/weather-showers-scattered.png]->FILE_READ->[Any],2
[File: PATH-/usr/local/share/icons/adwaita/16x16/mimetypes/x-office-presentation.png]->FILE_READ->[Any],3
[File: PATH-/usr/local/share/doc/imagemagick-6/www/api/magickcore/resize-private_8h.html]->FILE_READ->[Any],3
[File: PATH-/usr/local/lib/zsh/5.4.2/zsh/zftp.so]->FILE_READ->[Any],1
[File: PATH-/usr/local/lib/python3.6/test/test_capi.py]->FILE_READ->[Any],1
[File: PATH-/usr/local/lib/perl5/5.24/locale/maketext.pod]->FILE_READ->[Any],1
[File: PATH-/usr/local/lib/perl5/5.24/perl/man/man3/file::path.3.gz]->FILE_READ->[Any],1
[File: PATH-/usr/local/lib/python2.7/test/make_ssl_certs.pyc]->FILE_READ->[Any],1
[File: PATH-/usr/local/man/man3/gnutls_privkey_export_ecc_raw.3.gz]->FILE_READ->[Any],2
[File: PATH-/usr/local/lib/ruby/2.4/amHASHsd12/enc/iso_8859_14.so]->FILE_READ->[Any],1
[File: PATH-/usr/local/share/ghostscript/9.16/lib/ps2ai.ps]->FILE_READ->[Any],1
[File: PATH-/usr/local/lib/python2.7/site-packages/salt/minion.pyc]->FILE_READ->[Any],1
[File: PATH-/usr/local/lib/python3.6/xml/sax/__pycache__/expatreader.cpython-36.opt-1.pyc]->FILE_READ->[Any],1
[File: PATH-/usr/local/share/doc/imagemagick-6/www/api/magickcore/static_8c.html]->FILE_READ->[Any],3
[File: PATH-/usr/local/lib/python2.7/email/mime/text.py]->FILE_READ->[Any],1
[File: PATH-/usr/local/lib/python2.7/ctypes/test/test_loading.py]->FILE_READ->[Any],1
[File: PATH-/usr/local/lib/perl5/5.24/unicore/lib/nv/60.pl]->FILE_READ->[Any],1
[File: PATH-/usr/local/lib/python3.6/lib-dynload/_sha256.so]->FILE_READ->[Any],1
[File: PATH-/usr/local/share/locale/ky/lc_messages/gtkHASHties.mo]->FILE_READ->[Any],3
[File: PATH-/usr/local/share/argyll/ref/smpte431_p3.icm]->FILE_READ->[Any],2
[File: PATH-/usr/local/share/texinfo/lib/libintl-perl/lib/locale/HASHta/ibm037.pm]->FILE_READ->[Any],1
[File: PATH-/usr/local/share/doc/ntp/html/scripts/style.css]->FILE_READ->[Any],1
[File: PATH-/usr/local/share/locale/uk/lc_messages/aspell.mo]->FILE_READ->[Any],1
[File: PATH-/usr/local/include/boost/algorithm/cxx11/one_of.hpp]->FILE_READ->[Any],1
[File: PATH-/usr/local/man/man3/vga_claimvideomemory.3.gz]->FILE_READ->[Any],1
[File: PATH-/usr/local/share/git-core/contrib/coccinelle/strbuf.cocci]->FILE_READ->[Any],2
[File: PATH-/usr/local/include/gtk-3.0/gtk/gtkeditable.h]->FILE_READ->[Any],2
[File: PATH-/usr/local/lib/python2.7/site-packages/boto3/session.pyc]->FILE_READ->[Any],2
[File: PATH-/usr/local/lib/perl5/5.24/perl/man/man1/perlbs2000.1.gz]->FILE_READ->[Any],2
[File: PATH-/usr/local/lib/python3.6/test/test_doctest2.py]->FILE_READ->[Any],1
[File: PATH-/usr/local/share/emacs/25.3/lisp/cedet/ede/proj-info.el.gz]->FILE_READ->[Any],1
[File: PATH-/usr/local/share/xsl/docbook/html/highlight.xsl]->FILE_READ->[Any],1
[File: PATH-/usr/local/include/gtk-3.0/gdk/x11/gdkxHASHty.h]->FILE_READ->[Any],1
[File: PATH-/usr/local/sbin/gencmn]->FILE_READ->[Any],2
[File: PATH-/usr/local/lib/python2.7/distutils/command/bdist_msi.pyo]->FILE_READ->[Any],1
[File: PATH-/usr/local/share/doc/postfix/postcat.1.html]->FILE_READ->[Any],1
[File: PATH-/usr/local/share/icons/adwaita/22x22/devices/network-wired.png]->FILE_READ->[Any],3
[File: PATH-/usr/local/share/doc/gc/debugging.html]->FILE_READ->[Any],1
[File: PATH-/usr/local/share/sgml/iso8879/isolat1]->FILE_READ->[Any],1
[File: PATH-/usr/local/lib/python3.6/encodings/__pycache__/cp737.cpython-36.opt-1.pyc]->FILE_READ->[Any],1
[File: PATH-/usr/local/share/vim/vim80/plugin/getscriptplugin.vim]->FILE_READ->[Any],1
[File: PATH-/usr/local/lib/libsvn_client-1.so.0.0.0]->FILE_READ->[Any],1
[File: PATH-/usr/local/lib/python2.7/site-packages/salt/modules/mac_power.py]->FILE_READ->[Any],1
[File: PATH-/usr/local/share/ri/2.4/system/dbm/has_value%3f-i.ri]->FILE_READ->[Any],2
[File: PATH-/usr/local/include/boost/fusion/container/generation/detail/HASHssed/make_list10.hpp]->FILE_READ->[Any],1
[File: PATH-/usr/local/include/subversion-1/svn_pools.h]->FILE_READ->[Any],1
[File: PATH-/usr/local/share/doc/cups/help/kerberos.html]->FILE_READ->[Any],2
[File: PATH-/usr/local/share/cups/templates/class-modified.tmpl]->FILE_READ->[Any],2
[File: PATH-/usr/local/share/git-core/contrib/git-jump/git-jump]->FILE_READ->[Any],3
[File: PATH-/usr/local/share/emacs/25.3/lisp/nxml/rng-uri.el.gz]->FILE_READ->[Any],1
[File: PATH-/usr/local/man/man1/git-merge-index.1.gz]->FILE_READ->[Any],1
[File: PATH-/usr/local/share/icons/adwaita/48x48/apps/preferences-desktop-accessibility.png]->FILE_READ->[Any],2
[File: PATH-/usr/local/lib/perl5/5.24/pod/perlapio.pod]->FILE_READ->[Any],1
[File: PATH-/usr/local/lib/perl5/5.24/perl/man/man3/data::dumper.3.gz]->FILE_READ->[Any],1
[File: PATH-/usr/local/etc/asciidoc/docbook-xsl/xhtml.xsl]->FILE_READ->[Any],2
[File: PATH-/usr/local/share/doc/imagemagick-6/www/api/magickcore/identify_8h.html]->FILE_READ->[Any],3
[File: PATH-/usr/local/bin/uconv]->FILE_READ->[Any],2
[File: PATH-/usr/local/lib/ruby/2.4/webrick/httpauth/authenticator.rb]->FILE_READ->[Any],1
[File: PATH-/usr/local/lib/python3.6/turtledemo/two_canvases.py]->FILE_READ->[Any],1
[File: PATH-/usr/local/lib/python2.7/email/quoprimime.py]->FILE_READ->[Any],1
[File: PATH-/usr/local/share/examples/git/gitweb/static/gitweb.css]->FILE_READ->[Any],2
[File: PATH-/usr/local/lib/python2.7/test/test_hashlib.pyc]->FILE_READ->[Any],1
[File: PATH-/usr/local/share/icons/adwaita/48x48/actions/go-first-rtl.png]->FILE_READ->[Any],2
[File: PATH-/usr/local/lib/python3.6/turtledemo/colormixer.py]->FILE_READ->[Any],1
[File: PATH-/usr/local/lib/python2.7/distutils/config.py]->FILE_READ->[Any],1
[File: PATH-/usr/local/x86_64-portbld-freebsd12.0/lib/ldscripts/ppclynx.x]->FILE_READ->[Any],1
[File: PATH-/usr/local/bin/wmf2eps]->FILE_READ->[Any],1
[File: PATH-/usr/local/share/icons/adwaita/48x48/places/folder-saved-search.png]->FILE_READ->[Any],1
[File: PATH-/usr/local/bin/transicc]->FILE_READ->[Any],1
[File: PATH-/usr/local/lib/perl5/5.24/perl/man/man1/perl5141delta.1.gz]->FILE_READ->[Any],1
[File: PATH-/usr/local/share/icons/adwaita/24x24/actions/edit-redo-rtl.png]->FILE_READ->[Any],3
[File: PATH-/usr/local/lib/python2.7/site-packages/salt/modules/config.pyo]->FILE_READ->[Any],1
[File: PATH-/usr/local/x86_64-portbld-freebsd12.0/lib/ldscripts/h8300helf_linux.xu]->FILE_READ->[Any],2
[File: PATH-/usr/local/share/emacs/25.3/etc/schema/xhtml-table.rnc]->FILE_READ->[Any],1
[File: PATH-/usr/local/share/doc/curl/manual]->FILE_READ->[Any],2
[File: PATH-/usr/local/share/emacs/25.3/lisp/gnus/nnheader.elc]->FILE_READ->[Any],1
[File: PATH-/usr/local/share/examples/ruby24/biorhythm.rb]->FILE_READ->[Any],1
[File: PATH-/usr/local/man/man3/gnutls_pkcs12_init.3.gz]->FILE_READ->[Any],2
[File: PATH-/usr/local/share/icons/adwaita/22x22/actions/document-send.png]->FILE_READ->[Any],3
[File: PATH-/usr/local/include/js-17.0/jswrapper.h]->FILE_READ->[Any],1
[File: PATH-/usr/local/share/emacs/25.3/lisp/gnus/gnus-fun.el.gz]->FILE_READ->[Any],1
[File: PATH-/usr/local/include/gtk-3.0/gtk/gtkcolorchooserdialog.h]->FILE_READ->[Any],1
[File: PATH-/usr/local/share/licenses/tiff-4.0.9_1/bsd3clause]->FILE_READ->[Any],2
[File: PATH-/usr/local/man/man3/gnutls_ocsp_resp_get_certs.3.gz]->FILE_READ->[Any],2
[File: PATH-/usr/local/openjdk8/sample/jmx/jmx-scandir/src/com/sun/jmx/examples/scandir/package.html]->FILE_READ->[Any],2
[File: PATH-/usr/local/include/boost/circular_buffer/debug.hpp]->FILE_READ->[Any],1
[File: PATH-/usr/local/share/zsh/5.4.2/functions/completion/unix/_email_addresses]->FILE_READ->[Any],1
[File: PATH-/usr/local/x86_64-portbld-freebsd12.0/lib/ldscripts/h8300elf.xu]->FILE_READ->[Any],1
[File: PATH-/usr/local/lib/python3.6/test/test_asyncio/__pycache__/test_unix_events.cpython-36.opt-2.pyc]->FILE_READ->[Any],1
[File: PATH-/usr/local/lib/python2.7/site-packages/salt/modules/network.pyc]->FILE_READ->[Any],3
[File: PATH-/usr/local/x86_64-portbld-freebsd12.0/lib/ldscripts/ppclynx.xw]->FILE_READ->[Any],1
[File: PATH-/usr/local/man/man3/xoffsetregion.3.gz]->FILE_READ->[Any],1
[File: PATH-/usr/local/lib/python2.7/encodings/iso2022_jp_2.pyo]->FILE_READ->[Any],1
[Network Connect: Localhost--128.55.12.122:39904]->NET_CONNECT->[Any],1
[File: PATH-/usr/local/lib/python2.7/site-packages/salt/modules/win_timezone.pyo]->FILE_READ->[Any],1
[File: PATH-/usr/local/lib/python3.6/test/test_email/test_asian_codecs.py]->FILE_READ->[Any],1
[File: PATH-/usr/local/share/icons/adwaita/32x32/status/weather-showers-scattered.png]->FILE_READ->[Any],2
[File: PATH-/usr/local/man/man1/montage.1.gz]->FILE_READ->[Any],3
[File: PATH-/usr/local/share/ri/2.4/system/encoding/ascii_compatible%3f-i.ri]->FILE_READ->[Any],1
[File: PATH-/usr/local/share/icons/adwaita/24x24/actions/call-stop.png]->FILE_READ->[Any],3
[File: PATH-/usr/local/share/xml/sdocbook/1.1/dtd/sdocbookref-custom.dtd]->FILE_READ->[Any],1
[File: PATH-/usr/local/man/man3/xkillclient.3.gz]->FILE_READ->[Any],1
[File: PATH-/usr/local/x86_64-portbld-freebsd12.0/lib/ldscripts/elf32tilegx.xce]->FILE_READ->[Any],1
[File: PATH-/usr/local/lib/python3.6/__pycache__/this.cpython-36.opt-2.pyc]->FILE_READ->[Any],1
[File: PATH-/usr/local/x86_64-portbld-freebsd12.0/lib/ldscripts/elf64_sparc_sol2.xsw]->FILE_READ->[Any],1
[File: PATH-/usr/local/lib/python2.7/site-packages/salt/netapi/rest_cherrypy/tools/websockets.pyo]->FILE_READ->[Any],1
[File: PATH-/usr/local/man/man3/gnutls_ocsp_resp_export.3.gz]->FILE_READ->[Any],2
[File: PATH-/usr/local/share/cups/examples/postscript.drv]->FILE_READ->[Any],2
[File: PATH-/usr/local/share/doc/db5/api_reference/c/db_env_set_func_exists.html]->FILE_READ->[Any],1
